ID	A1_1	L1_2	L1_3	L1_4	M1_1	M1_2	M1_3	M1_4	M2_1	M2_2	M2_3	A1_2	M2_4	M3_1	M3_2	M3_3	M3_4	M4_1	M4_2	M4_3	M4_4	M5_1	A1_3	M5_2	M5_3	M5_4	S_1	S_2	S_3	S_4	A1_4	A2_1	A2_2	A2_3	A2_4	L1_1
9b92ba8a6c3c7255f63b1510d22686a6	0.0	29.0	31.0	23.0	36.0	28.0	29.0	23.0	31.0	52.0	41.0	29.0	31.0	31.0	0.0	29.0	20.0	31.0	83.0	23.0	37.0	34.0	0.0	37.0	20.0	16.0	44.0	69.0	29.0	31.0	20.0	24.0	19.0	24.0	35.0	22.0
cf0316113a0c4935c13600ab9d4f0bcf	8.0	24.0	16.0	36.0	31.0	11.0	16.0	12.0	24.0	19.0	18.0	47.0	33.0	26.0	21.0	24.0	20.0	34.0	24.0	23.0	44.0	20.0	22.0	27.0	16.0	24.0	65.0	72.0	98.0	47.0	20.0	28.0	40.0	28.0	14.0	15.0
780d193042112f24a43c3775b19e5153	0.0	25.0	61.0	32.0	14.0	31.0	37.0	39.0	41.0	21.0	18.0	30.0	0.0	32.0	13.0	16.0	34.0	55.0	62.0	40.0	27.0	119.0	0.0	74.0	41.0	24.0	0.0	0.0	0.0	0.0	12.0	22.0	40.0	30.0	16.0	23.0
f195c3a5ca425677454d32e57338c7b5	0.0	70.0	0.0	0.0	0.0	65.0	0.0	0.0	0.0	0.0	93.0	0.0	82.0	107.0	0.0	0.0	0.0	0.0	0.0	110.0	31.0	0.0	0.0	182.0	0.0	102.0	0.0	0.0	0.0	186.0	0.0	0.0	0.0	0.0	0.0	0.0
00d65fac87864e617c2f1de9b6d81a12	31.0	25.0	44.0	32.0	21.0	14.0	30.0	71.0	26.0	0.0	48.0	16.0	29.0	28.0	41.0	34.0	33.0	28.0	73.0	27.0	32.0	42.0	18.0	0.0	20.0	38.0	0.0	0.0	0.0	0.0	34.0	35.0	35.0	31.0	25.0	40.0
93887b384bfc9f40645c05d29f6fda6f	0.0	0.0	66.0	100.0	0.0	0.0	0.0	33.0	108.0	0.0	0.0	0.0	0.0	0.0	84.0	0.0	58.0	0.0	0.0	0.0	122.0	69.0	0.0	0.0	97.0	0.0	0.0	0.0	0.0	114.0	0.0	0.0	0.0	119.0	0.0	28.0
058c73979345b673f57081f34c8052d8	34.0	30.0	32.0	38.0	30.0	30.0	20.0	0.0	45.0	16.0	15.0	9.0	0.0	20.0	18.0	31.0	50.0	47.0	26.0	23.0	35.0	36.0	87.0	23.0	29.0	24.0	0.0	0.0	0.0	0.0	82.0	35.0	26.0	36.0	19.0	35.0
c2f19a9347d6e3c604143c5464b1fefb	52.0	42.0	21.0	36.0	31.0	62.0	17.0	16.0	14.0	48.0	24.0	12.0	62.0	23.0	17.0	43.0	33.0	24.0	29.0	29.0	21.0	21.0	67.0	0.0	19.0	18.0	0.0	0.0	0.0	0.0	35.0	35.0	28.0	13.0	46.0	32.0
7718715494418e9d4093da89d1f9ee3b	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.0	86.0	27.0	174.0	27.0	0.0	76.0	80.0	0.0	22.0	87.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	164.0	0.0	125.0	0.0	0.0	25.0
ee9195bf7b32de26952609b827b430fb	113.0	0.0	114.0	0.0	0.0	0.0	123.0	0.0	0.0	0.0	0.0	0.0	102.0	0.0	0.0	0.0	0.0	74.0	0.0	0.0	66.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	81.0	51.0	0.0	109.0	0.0	0.0	0.0	86.0
deb15e7935983814d131841287a83dcb	0.0	48.0	18.0	32.0	27.0	43.0	28.0	20.0	33.0	0.0	29.0	32.0	18.0	34.0	54.0	39.0	21.0	34.0	0.0	23.0	35.0	27.0	0.0	11.0	18.0	43.0	30.0	0.0	24.0	71.0	32.0	23.0	21.0	26.0	22.0	24.0
4c26184079c73d3782a342cbdfdbf049	38.0	33.0	25.0	28.0	29.0	24.0	25.0	16.0	36.0	0.0	23.0	38.0	29.0	17.0	67.0	27.0	30.0	23.0	0.0	17.0	43.0	28.0	0.0	22.0	22.0	36.0	14.0	0.0	36.0	49.0	25.0	24.0	39.0	32.0	12.0	27.0
bc0b3fecd74c27af26a5d40b0e129467	18.0	25.0	28.0	25.0	29.0	21.0	14.0	19.0	10.0	16.0	28.0	23.0	16.0	21.0	28.0	36.0	29.0	17.0	15.0	20.0	48.0	22.0	11.0	25.0	17.0	13.0	51.0	64.0	86.0	32.0	15.0	11.0	25.0	22.0	14.0	31.0
992c60ab214c86d2c97a9a2bf8ed7d9f	28.0	63.0	19.0	38.0	24.0	40.0	49.0	0.0	23.0	14.0	0.0	0.0	27.0	30.0	24.0	33.0	20.0	48.0	0.0	39.0	60.0	34.0	24.0	0.0	61.0	30.0	0.0	0.0	0.0	0.0	28.0	32.0	28.0	35.0	28.0	35.0
6d64242c481fea714e79223d2f388a72	148.0	25.0	21.0	19.0	27.0	47.0	11.0	37.0	19.0	14.0	21.0	15.0	19.0	22.0	41.0	22.0	27.0	29.0	29.0	18.0	21.0	22.0	71.0	25.0	21.0	17.0	0.0	0.0	0.0	0.0	7.0	29.0	39.0	17.0	19.0	12.0
6473fa74da4f27a39c55da401d43f492	20.0	49.0	89.0	16.0	28.0	20.0	26.0	24.0	17.0	17.0	23.0	15.0	0.0	26.0	37.0	34.0	59.0	80.0	25.0	19.0	58.0	21.0	19.0	19.0	0.0	28.0	0.0	0.0	0.0	0.0	26.0	31.0	15.0	38.0	12.0	18.0
