Taxa and Samples	A1_1	A1_2	A1_3	A1_4	A2_1	A2_2	A2_3	A2_4	L1_1	L1_2	L1_3	L1_4	M1_1	M1_2	M1_3	M1_4	M2_1	M2_2	M2_3	M2_4	M3_1	M3_2	M3_3	M3_4	M4_1	M4_2	M4_3	M4_4	M5_1	M5_2	M5_3	M5_4	S_1	S_2	S_3	S_4
ASV11	5.27088320570932	3.92877289596524	6.84340087855999	4.81248716826452	4.32156681535915	4.67489776668362	3.72133068539002	6.4303083470534	5.07152360473168	5.59112400127995	4.28025504978227	4.5179126290502	4.04570613121276	4.18475830050924	4.81155575817778	4.64572048573591	4.86817173053795	5.97386176496906	4.91541184996142	4.4810153330833	5.31118123529807	6.09696626307971	4.24929499699705	4.94049308230073	5.08919238974429	6.57262937615983	5.00133474009383	4.3009304350108	6.14763626996568	4.96274944076509	6.43083896491042	5.28819964266582	0	0	0	0
ASV12	4.25035089771796	3.08913902947292	5.81724976384011	3.66282873328184	3.61168155327322	3.7807157674811	2.93007873931315	5.49626838681767	4.26834451035676	4.70671249697687	3.19696029548196	3.69877618951528	3.17709197506634	3.33129760006004	3.80059129813351	3.51362937476543	4.06580225715721	4.91069237021456	4.19611887487935	3.82208961496415	4.28093526042698	4.90584504680826	3.0601639721301	4.36952336210842	4.25317083723731	5.4111294911224	3.65948017564804	3.2410177128243	5.11600512340024	3.67255569616548	5.6857288037	4.54496883615384	0	0	0	0
ASV13	4.2888856807836	2.97289845669817	5.76403671195953	3.92391293353871	3.78434162536424	3.89192323042221	2.98595541205483	5.66263768542871	4.08635488685902	4.71710689798068	3.58740467169605	3.75988195096822	2.69130764354759	3.4103042016158	3.69198183350482	3.91040458209476	3.87481517433985	5.20053505245619	4.19611887487935	3.44779829110279	4.35423263207219	4.89377251758726	3.19768323617437	4.2065546404406	4.02819609096053	5.32311743736487	3.44268619544758	3.38194910499419	4.99599041382927	3.88994898820826	5.35300344904614	4.4275951675855	0	0	0	0
ASV14	2.99189416521403	1.75340835662398	2.93282443244983	1.48268708674603	2.816366473598	2.89735619677852	2.87195041990079	2.82149910437787	3.61543012323661	2.99754620457372	3.83798349675535	4.46995424806246	2.40863731011542	3.4103042016158	3.44665207062436	4.18798242833705	3.85769688903444	2.36573892020434	3.53730595537038	4.82602938319704	4.17162930765456	4.2657611327722	3.46074387545043	3.98672697381831	3.41100524588333	4.40231690263172	4.37476972976733	3.57886759666582	4.70841765791698	3.95569677338317	4.2977707139109	3.87576930776395	0	0	0	0
ASV15	3.28664047749194	2.52182541293853	3.02618095158398	1.8844148957512	2.15498331019696	3.40561543533458	2.38230605162409	3.16992500144231	3.57650438299712	3.18892867900551	3.77929984958597	4.38198843617828	2.1989460681383	2.81627963743111	3.30633250753731	3.78246386387134	3.55194657667207	2.29964872038294	3.4466189674529	4.45290296686679	3.94364301689659	4.65717271871788	3.48244090425019	3.58973270058324	3.26369113649891	4.73802334011239	4.44651756063467	3.15383903642688	4.19385357754066	3.6462476177775	4.39579650358431	3.87576930776395	0	0	0	0
ASV16	5.09720176422674	2.30817712462755	3.38454632768776	2.79128679015561	2.8854229923327	3.42687694724709	2.7154752826111	3.03076225377069	2.91174631337487	3.12791252196304	4.0347845901363	3.23679356947343	2.59168258006553	2.65260295082482	3.52472777029491	2.92465845113852	3.13534020898553	2.60343374876804	2.52970497891954	2.76928759365781	3.21847183888971	3.42528378860804	2.54551659274241	3.14211628287841	2.97883569575275	4.40231690263172	3.67947017346737	2.2455576475421	5.22679827990211	4.87484681643936	3.56462070357297	3.20287754538293	0	0	0	0
ASV17	0	2.55454840889844	2.11036972433154	1.8844148957512	1.97657982513723	2.95703444787302	2.53994066162312	3.21348136742905	3.7262765093733	2.73652966878417	3.69714651897656	4.17322327689942	2.1989460681383	2.89164316248911	3.04887558342238	3.86900565418409	3.21815115406983	2.15762738352977	3.64319272917858	4.54898915649431	3.76163879689463	3.8816347891464	3.0601639721301	3.77035587925466	3.28931193807075	3.76461015251351	4.03020406984369	3.28270796594191	4.31584164450507	3.69839261593045	4.01889033324247	3.87576930776395	0	0	0	0
ASV18	0	0	3.5508705027772	4.50561922183944	2.98317966949806	2.89735619677852	2.61273678350727	0	2.51874459753159	4.83632691337032	4.20793379110248	0	2.15308558933957	0	0	3.95064860849238	0	0	0	0	0	0	3.48244090425019	0	3.91754331633443	4.53360476093779	0	0	3.06725600776245	4.41118878460489	0	0	4.63215409088875	3.62455885242151	4.54644403535248	4.72544372427099
ASV19	3.87310016857503	2.05729614633141	2.41655561731722	2.40796465539825	2.62771245125479	2.59326124527388	3.11685437250778	3.48631491278825	3.55664044478395	1.70746340092743	2.93549737166704	3.65655207414009	1.78332163945076	2.13731774111612	2.69080821336992	3.86900565418409	2.15730452579434	2.6572056733379	2.43852347531895	3.68379684485551	3.90513549193599	4.14872646143679	2.62570031225928	5.5286521183789	4.24009231450629	2.76383474719269	3.34594161661151	1.33605569525158	3.64777791383318	2.54564957669633	4.58777211516762	2.58879494397756	0	0	0	0
ASV20	0	1.91333882921563	2.78038191936713	2.50237849128579	3.01434665983388	2.80293824011086	3.48970452189721	2.92992156426386	3.57650438299712	2.60838046467329	2.82378652868119	3.3734109969224	1.89897947596838	2.007812140558	2.77840917714104	3.97035732516158	2.26510289049157	2.08100474513633	2.98122279296937	3.73138266421798	3.99954314732799	4.04337807918997	1.66395276973437	5.53491159766177	4.32924587318487	2.59371582928437	3.44268619544758	2.514098195035	3.99947990372526	2.42703761326287	4.37991445280451	2.21660101035014	0	0	0	0
