	A1_1	A1_2	A1_3	A1_4	A2_1	A2_2	A2_3	A2_4	L1_1	L1_2	L1_3	L1_4	M1_1	M1_2	M1_3	M1_4	M2_1	M2_2	M2_3	M2_4	M3_1	M3_2	M3_3	M3_4	M4_1	M4_2	M4_3	M4_4	M5_1	M5_2	M5_3	M5_4	S_1	S_2	S_3	S_4
ASV86	0	0	0	0	0	58	0	0	51	0	40	29	0	0	23	31	51	29	40	52	16	23	0	22	36	15	25	29	31	38	78	33	0	0	0	0
ASV87	0	0	0	0	0	0	45	65	94	61	0	60	0	0	55	0	0	0	62	0	0	61	0	0	26	65	40	17	11	0	0	0	0	0	0	86
ASV88	0	0	0	0	26	16	69	0	0	156	22	0	0	0	110	43	0	0	0	0	50	0	44	7	19	44	0	6	40	13	80	0	0	0	0	0
ASV89	0	0	51	0	0	0	104	0	67	0	35	21	0	0	23	17	0	0	11	50	36	35	0	10	31	25	20	19	32	31	90	33	0	0	0	0
ASV90	0	0	0	0	0	0	49	0	0	0	0	0	0	0	22	0	0	0	0	0	0	100	0	0	0	164	0	0	0	0	98	0	116	180	0	0
ASV91	0	22	0	21	22	41	16	34	31	22	35	15	17	0	10	103	14	0	21	27	24	30	25	22	34	29	19	24	12	0	39	19	0	0	0	0
ASV92	23	33	7	22	24	13	18	18	34	29	27	24	21	45	22	12	30	20	10	12	22	29	23	12	13	22	0	21	0	45	0	30	0	62	0	0
ASV93	0	0	0	49	0	0	0	0	12	0	0	35	0	0	52	13	0	0	9	0	0	90	99	0	20	89	61	0	15	102	75	0	0	0	0	0
ASV94	22	26	27	12	0	29	30	24	14	15	25	12	19	88	0	31	0	22	43	22	21	0	19	21	35	14	21	27	37	42	0	20	0	0	0	0
ASV95	0	0	0	0	0	0	107	0	34	0	0	0	97	0	0	0	104	0	0	0	0	0	0	130	0	0	0	57	0	156	0	0	9	0	0	19
ASV96	0	98	0	0	0	0	0	0	35	124	0	19	0	0	0	0	0	0	39	71	67	39	0	43	42	47	37	0	28	0	21	0	0	0	0	0
ASV97	0	0	0	0	0	0	0	0	176	0	133	0	0	0	0	29	59	0	39	125	0	0	0	0	0	0	0	0	0	122	0	23	0	0	0	0
ASV98	0	0	0	0	0	0	0	0	0	0	0	0	0	174	0	0	0	0	0	0	0	0	0	0	0	83	157	0	162	0	0	0	0	106	24	0
ASV99	0	22	75	0	0	22	0	0	0	24	0	0	35	0	11	162	0	0	48	0	26	0	26	44	36	40	43	65	0	23	0	0	0	0	0	0
ASV100	35	14	76	18	34	26	22	27	0	30	0	43	30	0	0	0	0	28	37	34	41	0	26	32	27	26	17	24	0	0	30	24	0	0	0	0
ASV101	0	0	0	0	161	0	0	0	0	0	41	0	63	0	69	42	0	0	0	0	45	0	28	24	17	44	57	0	0	0	109	0	0	0	0	0
ASV102	23	17	19	13	29	22	18	17	32	18	22	24	22	7	16	17	29	12	18	11	25	19	19	27	27	38	28	46	30	10	18	17	6	0	0	0
ASV103	0	0	0	0	0	28	0	0	90	78	39	0	0	0	0	0	79	25	0	0	95	0	26	0	51	44	44	5	0	0	0	0	0	0	0	89
ASV104	20	19	8	35	0	46	71	17	19	22	46	24	47	0	95	0	22	15	7	0	15	0	23	16	16	21	15	27	40	0	0	0	0	0	0	0
ASV105	0	11	0	0	16	7	26	0	0	46	0	0	23	0	0	0	30	0	31	21	37	34	20	0	34	57	46	46	44	0	0	37	44	0	75	0
ASV106	0	23	0	37	25	35	15	13	46	12	20	18	7	0	18	0	24	0	42	37	37	37	21	35	19	31	35	28	19	0	32	17	0	0	0	0
ASV107	0	0	0	0	0	152	0	0	36	0	0	121	0	101	0	0	0	0	37	0	0	0	14	17	40	0	0	0	0	94	0	38	0	0	0	29
ASV108	0	0	42	64	0	0	0	0	14	0	74	32	0	0	13	0	0	0	55	0	19	0	0	82	0	62	27	70	13	45	5	0	0	0	0	61
ASV109	16	22	29	15	70	51	23	23	21	25	24	14	21	0	0	0	0	17	17	22	0	80	14	23	40	33	24	27	0	0	0	26	0	0	0	0
ASV110	14	13	12	13	62	28	39	24	13	32	42	14	13	0	15	14	21	29	16	12	9	10	21	41	35	19	25	26	15	10	13	27	0	0	0	0
ASV111	0	22	18	0	0	33	15	0	32	17	0	0	21	38	0	0	0	0	0	98	19	0	24	0	0	53	47	30	16	63	131	0	0	0	0	0
ASV112	45	30	0	110	15	0	0	32	19	12	0	57	32	0	0	0	0	67	0	82	0	0	23	0	0	0	61	30	50	0	0	0	0	0	0	0
ASV113	16	24	31	24	31	29	18	18	12	9	20	0	14	0	55	15	40	16	16	16	15	25	27	26	31	15	31	14	0	0	0	10	0	0	0	66
ASV114	14	19	30	11	0	34	28	32	14	19	12	19	23	0	0	25	73	20	19	23	26	0	24	30	33	16	18	19	0	67	0	15	0	0	0	0
ASV115	48	11	80	19	16	17	11	35	0	20	0	50	7	0	0	0	0	42	15	43	29	0	30	27	23	30	22	34	0	0	26	26	0	0	0	0
ASV116	18	13	18	34	56	68	36	11	15	20	0	13	0	0	0	63	26	14	0	23	16	49	17	18	23	0	29	0	24	53	0	0	0	0	0	0
ASV117	0	70	0	0	0	26	0	0	26	0	0	0	0	44	45	0	35	0	30	19	19	27	75	0	42	32	12	17	33	66	9	23	0	0	0	0
ASV118	29	16	24	9	14	30	22	15	12	10	19	35	17	18	23	14	13	21	19	26	14	10	21	25	22	20	25	41	14	12	30	12	12	0	0	3
ASV119	0	0	0	0	0	0	0	0	73	0	0	66	0	0	114	0	0	0	0	0	0	58	0	0	0	48	64	0	0	0	95	0	24	28	40	35
ASV120	0	0	0	80	46	0	0	0	34	0	12	8	0	129	33	15	10	0	17	17	24	15	0	12	10	43	25	0	8	12	29	20	44	0	0	0
ASV121	40	21	53	0	29	26	43	54	23	17	0	0	27	0	74	0	15	0	0	0	38	42	63	38	0	0	0	27	12	0	0	0	0	0	0	0
ASV122	21	16	17	21	21	20	21	29	20	15	34	23	13	20	38	25	36	28	12	11	16	53	22	22	16	22	0	14	0	0	0	36	0	0	0	0
ASV123	0	0	0	0	0	0	15	0	0	130	115	0	0	0	0	0	0	0	0	0	126	0	0	0	0	0	115	0	139	0	0	0	0	0	0	0
ASV124	0	36	50	20	49	42	14	0	38	10	0	68	15	0	0	0	0	0	51	0	32	36	15	22	0	0	48	50	0	0	0	0	0	0	0	43
ASV125	0	0	88	0	81	31	55	17	30	28	0	0	12	0	0	0	0	0	20	0	0	53	63	0	0	0	0	0	132	0	0	28	0	0	0	0
ASV126	0	16	54	29	0	0	0	0	141	0	0	123	0	0	0	43	0	0	0	18	0	0	106	0	10	95	0	0	0	0	0	0	0	0	0	0
ASV127	0	0	141	0	0	0	0	64	29	0	0	25	0	112	0	0	73	0	0	18	0	22	0	0	0	0	0	0	17	0	42	45	0	44	0	0
